employee_id,age,salary,active,start_date,department,region,comment,mixed_value
1001,21,48000.50,true,2024-01-15,Sales,East,Quick learner,10
1002,24,51000.00,false,2024-02-10,Sales,East,Works well under pressure,12
1003,29,62000.75,yes,2024-03-01,Marketing,East,Strong presentation skills,14
1004,31,60500.25,no,2024-03-21,Marketing,East,NA,16
1005,34,73000.00,true,2024-04-18,Engineering,East,Builds reliable features,18
1006,35,75000.50,false,2024-05-06,Engineering,East,Enjoys debugging hard issues,20
1007,38,79000.00,true,2024-05-30,Engineering,East,Mentors newer teammates,22
1008,41,83000.20,true,2024-06-11,Operations,East,Coordinates cross-team work,24
1009,43,87000.80,false,2024-06-25,Operations,East,Very detail oriented,26
1010,45,91000.40,true,2024-07-09,Finance,East,Trusted with audits,28
1011,47,95500.10,false,2024-07-23,Finance,East,,30
1012,52,250000.00,true,2024-08-15,Executive,East,Promoted this quarter,unknown
